task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language,GeneralE2E_successful_attempts,GeneralE2E_success_count,GeneralE2E_attempt_1_completion,GeneralE2E_attempt_1_device,GeneralE2E_attempt_1_exit_code,GeneralE2E_attempt_1_total_steps,GeneralE2E_attempt_1_total_token_cost,GeneralE2E_attempt_1_total_time,GeneralE2E_attempt_1_finish_signal,GeneralE2E_attempt_1_step_ratio,GeneralE2E_attempt_1_elapsed_time_initial,GeneralE2E_attempt_1_elapsed_time_exec,GeneralE2E_attempt_1_avg_prompt_tokens,GeneralE2E_attempt_1_avg_completion_tokens,GeneralE2E_attempt_1_exec_error,GeneralE2E_direct_with_action_attempt_1_evaluation,GeneralE2E_direct_with_action_attempt_1_details,GeneralE2E_direct_with_action_attempt_1_evaluation_method,GeneralE2E_direct_with_action_attempt_1_eval_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_eval_completion_tokens,GeneralE2E_direct_with_action_attempt_1_eval_total_tokens,GeneralE2E_direct_with_action_attempt_1_eval_api_cost,GeneralE2E_direct_with_action_attempt_1_model_provider,GeneralE2E_direct_with_action_attempt_1_model_name,GeneralE2E_direct_with_action_attempt_1_step_desc_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_completion_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_total_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_api_cost,GeneralE2E_direct_with_action_attempt_1_step_desc_model_name,GeneralE2E_direct_with_action_attempt_1_step_desc_model_provider,GeneralE2E_direct_with_action_attempt_1_final_decision_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_completion_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_total_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_api_cost,GeneralE2E_direct_with_action_attempt_1_final_decision_model_name,GeneralE2E_direct_with_action_attempt_1_final_decision_model_provider,GeneralE2E_direct_with_action_attempt_1_badcase_category,GeneralE2E_direct_with_action_attempt_1_badcase_confidence,GeneralE2E_direct_with_action_attempt_1_badcase_analysis_reason,GeneralE2E_direct_with_action_attempt_1_badcase_key_failure_point,GeneralE2E_direct_with_action_attempt_1_badcase_evidence,GeneralE2E_direct_with_action_attempt_1_badcase_suggested_improvement,GeneralE2E_attempt_1_self_reflection_judgment,GeneralE2E_attempt_1_self_reflection_prompt_tokens,GeneralE2E_attempt_1_self_reflection_completion_tokens,GeneralE2E_attempt_1_self_reflection_total_tokens,GeneralE2E_attempt_1_self_reflection_api_cost,GeneralE2E_direct_with_action_attempt_1_failure_step,GeneralE2E_direct_with_action_attempt_1_irr_percentage,GeneralE2E_direct_with_action_attempt_1_irr_total_units,GeneralE2E_direct_with_action_attempt_1_irr_correct_units,GeneralE2E_direct_with_action_attempt_1_irr_reason,GeneralE2E_direct_with_action_attempt_1_irr_method
001-FindProductAndFilter,"Open the Amazon app, search for ""running shoes for men"", then filter for the brand ""ASICS"" and size ""10"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG,[1],1,Y,emulator-5554,0,15,1.92491,446.0985152721405,1,1.0,1.1756987571716309,444.9228165149689,12462,123,N,S,"Task completed successfully. The agent opened the Amazon app, searched for 'running shoes for men', selected the 'ASICS' brand filter, selected size '10', and applied the filters. The final screenshot shows search results for ASICS running shoes with a filter badge indicating 2 active filters, confirming both brand and size filters were applied.",detailed_evaluation,0,0,0,0.0,,,47751,11686,59437,0.0,qwen3.6-plus,openai_compatible,5697,761,6458,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
002-FindProductAndFilter,"Open the Amazon app, search for ""women's handbag"", then filter for the brand ""ALDO"" and color ""Black"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG,[1],1,Y,emulator-5556,0,16,2.10159,556.7674262523651,1,1.0,1.2307982444763184,555.5366280078888,12724,136,N,S,"Task completed successfully. The agent opened the Amazon app, searched for 'women's handbag', and successfully applied filters for the brand 'ALDO' and color 'Black'. The final screenshot (Step 17) confirms the results show ALDO handbags in Black, and the filter indicator shows '2' active filters.",detailed_evaluation,0,0,0,0.0,,,50742,16504,67246,0.0,qwen3.6-plus,openai_compatible,5974,545,6519,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
003-RecordAndNameAudio,"Open the audio recorder app. Set the recording format to WAV, 48 kHz, Mono. Record an audio clip for more than 10 seconds, then stop the recording. Save the file with the name ""MyTestAudio"".",['audio recorder'],1,N,"['Content Creation: Multimedia Creation', 'Device Configuration: Setting Adjustment']",N,1,Action Execution Task,12,1,ENG,[],0,Y,emulator-5554,4,24,3.3904300000000003,821.6053841114044,0,0.48,1.2190024852752686,820.3863816261292,13634,164,N,F,"Task failed because the agent did not complete the final save action. At Step 25, the agent inputted 'MyTestAudio' into the filename field, but the sequence ends without clicking the 'Save' button to confirm and complete the save operation. The file naming process is incomplete - the text was entered but not saved. Additionally, there was a prior conflict (Step 18) where 'File with this name is already exists!' appeared, which may have caused confusion in the workflow.",detailed_evaluation,0,0,0,0.0,,,75096,36156,111252,0.0,qwen3.6-plus,openai_compatible,7144,1179,8323,0.0,qwen3.6-plus,openai_compatible,other,0.95,"The agent successfully understood the task goal, navigated to the correct application, verified the recording settings, recorded the audio for the required duration, and correctly entered the target filename 'MyTestAudio' into the dialog box. The failure occurred because the execution sequence terminated prematurely at Step 25 immediately after the text input action. The agent failed to perform the necessary subsequent UI interaction of clicking the 'Save' button to confirm and finalize the file saving process. This does not align with memory hallucination (no loss of direction or incorrect output), knowledge deficiency (the agent demonstrated correct app usage), or intent misunderstanding. It is a specific execution planning failure where the action sequence was incomplete.",Step 25: The agent completed the text input for the filename but stopped execution before clicking the 'Save' button to confirm the dialog.,"Execution logs show Steps 23-25 successfully handling the filename dialog (selecting text and typing 'MyTestAudio'). However, the log ends abruptly after the typing action. The UI state at Step 25 clearly shows the 'Save' button is still visible and actionable, but no click action was generated. The provided failure reason explicitly confirms: 'the sequence ends without clicking the Save button to confirm and complete the save operation.'","Enhance the agent's action planning module to recognize modal dialog workflows, ensuring that text input actions are automatically followed by the corresponding confirmation action (e.g., clicking 'Save', 'OK', or 'Done'). Additionally, implement a task completion verification step that checks if the final UI state matches the expected outcome before terminating the sequence.",,0,0,0,0.0,25.0,,,,,
004-ConfigureRecordAndNameAudio,"Open the audio recorder app. Set the recording format to M4a, 8 kHz, 48kbps. Record an audio clip for more than 15 seconds, then stop the recording. Save the file with the name ""M4aTestAudio"".",['audio recorder'],1,N,"['Device Configuration: Setting Adjustment', 'Content Creation: Multimedia Creation']",N,1,Action Execution Task,12,1,ENG,[],0,Y,emulator-5556,0,16,2.14382,590.988086938858,1,1.0,1.2392935752868652,589.7487933635712,12953,148,N,F,"Task failed because the file was not successfully saved with the name 'M4aTestAudio'. In Step 16, the agent clicked Save, but Step 17 shows an error toast message 'File with this name is already exists!' and the file is still named 'Record-9' (visible in the screenshot). The agent did not handle this naming conflict - it should have either deleted the existing file first, chosen a different approach to overwrite, or provided an alternative filename. The final state does not meet the task requirement of saving the file with the name 'M4aTestAudio'.",detailed_evaluation,0,0,0,0.0,,,51149,18635,69784,0.0,qwen3.6-plus,openai_compatible,5974,702,6676,0.0,qwen3.6-plus,openai_compatible,knowledge_deficiency,0.9,"The agent successfully completed the configuration, recording, and initial renaming steps. However, upon attempting to save the file with the target name, the application returned a 'File with this name is already exists!' error toast. The agent lacked the operational knowledge and error-handling strategy to resolve this naming conflict. Instead of taking corrective actions such as deleting the existing file, acknowledging the toast, or modifying the filename to bypass the restriction, the agent simply terminated the task. This reflects a deficiency in handling app-specific UI constraints and error states, falling under insufficient technical capability for the required UI operations.","Step 17, where the agent encounters a file naming conflict error toast but fails to execute any recovery or conflict-resolution actions, leaving the file named 'Record-9'.","Steps 11-16 show the agent correctly inputs 'M4aTestAudio' and clicks Save. Step 17's UI state explicitly displays the error toast 'File with this name is already exists!' and confirms the filename remains 'Record-9'. The execution log ends immediately after the error, with no subsequent steps to address the conflict, demonstrating a lack of knowledge on how to handle this specific app behavior.","Enhance the agent's error-handling capabilities by training it to recognize and respond to common UI error messages (like file conflicts). Implement a fallback strategy for naming conflicts, such as proactively checking for existing files, deleting them before saving, or automatically appending a timestamp/suffix to ensure successful file creation.",,0,0,0,0.0,16.0,,,,,
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG,[],0,Y,emulator-5554,4,16,2.08395,495.9013006687164,0,0.32,1.2013559341430664,494.69994473457336,12630,131,N,F,"The task is incomplete. The agent successfully opened the BBC Sport app and navigated to the 'All Sport' menu in the side drawer (Step 17). However, the agent stopped there. It did not expand the 'All Sport' menu to find and tap on 'Football', nor did it proceed to 'Scores & Fixtures' or perform a search for 'Real Madrid'.",detailed_evaluation,0,0,0,0.0,,,50891,12234,63125,0.0,qwen3.6-plus,openai_compatible,5594,1246,6840,0.0,qwen3.6-plus,openai_compatible,other,0.9,"The agent successfully opened the BBC Sport app and navigated to the side drawer, but completely stopped after Step 17. It did not exhibit process memory hallucination (no looping or loss of direction), nor output memory hallucination (task requires navigation, not final answer submission). It also correctly understood the task intent, as evidenced by its attempts to navigate to sports categories. The failure is best classified as 'other' because the agent prematurely terminated execution. This was likely caused by a combination of persistent app loading errors encountered in Steps 3-15 (repeated 'Something went wrong' messages) and a lack of robust error-recovery or next-step planning logic, causing it to halt after clicking 'All Sport' instead of proceeding to expand the menu, select 'Football', and continue the workflow.","Step 17: The agent clicked the 'All Sport' menu item in the side navigation drawer and then ceased all further actions, failing to expand the category list or proceed with the remaining task steps.","Steps 3, 5, 7, 9, and 13 show repeated 'Something went wrong' error states and retry attempts. Step 16 shows opening the hamburger menu. Step 17 shows clicking 'All Sport' in the drawer. The execution log ends immediately after Step 17 with no subsequent actions to expand the menu, tap 'Football', navigate to 'Scores & Fixtures', or search for 'Real Madrid', confirming premature termination rather than a memory or intent error.","Implement robust error-handling and state-recovery mechanisms to prevent premature termination when apps display loading errors or blank states. Enhance the agent's UI interaction knowledge to recognize expandable/collapsible menu items and automatically attempt the next logical step (e.g., tapping to expand 'All Sport', then selecting 'Football'). Additionally, add a fallback strategy (like using the search bar directly) when primary navigation paths fail repeatedly.",,0,0,0,0.0,17.0,,,,,
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG,[],0,Y,emulator-5556,4,16,2.1125300000000005,473.6843280792236,0,0.32,1.2927970886230469,472.3915309906006,12767,145,N,F,"Task failed because the agent did not complete all required steps. While the agent successfully opened the BBC Sports app (Step 1-2) and navigated to the Football section via the menu (Steps 14-16), two critical requirements were not met: (1) The 'Scores & Fixtures' view was never properly opened - the agent clicked 'Scores' in the bottom nav (Step 5) but then navigated away to the menu, and the Football page in Step 17 shows only a blank loading screen; (2) Most importantly, no search for 'Bayern Munich' was ever executed. The agent was still waiting for the Football page to load at Step 17 and never performed any search action. The task is incomplete as the final search requirement was never attempted.",detailed_evaluation,0,0,0,0.0,,,50880,13052,63932,0.0,qwen3.6-plus,openai_compatible,5634,718,6352,0.0,qwen3.6-plus,openai_compatible,knowledge_deficiency,0.85,"The task requires the agent to navigate through the BBC Sports app to the Football section, open 'Scores & Fixtures', and search for 'Bayern Munich'. The agent successfully opens the app and uses the side menu to navigate to Football, but repeatedly encounters blank or error-loading screens. Instead of recognizing the unresponsive UI state, applying a timeout/fallback strategy, or independently locating the search function (which is typically accessible via a header icon or menu), the agent passively waits or retries the same loading action. This demonstrates a lack of technical capability and app-specific knowledge: the agent does not know how to recover from persistent loading errors or how to locate and trigger the search feature within this specific application's UI layout.",Inability to handle persistent blank/loading UI states and failure to locate or execute the search function for 'Bayern Munich'.,"Steps 3-13 show the agent stuck on a blank/error 'Scores' screen, repeatedly waiting or clicking 'Retry' without progressing. Steps 14-16 show successful menu navigation to 'Football', but Step 17 reveals the page remains blank. The agent stops execution at Step 17, waiting indefinitely for content to load, and never attempts to find or use the search feature, confirming insufficient knowledge of the app's navigation patterns and error recovery strategies.","Enhance the agent's UI state recognition capabilities to distinguish between normal loading, persistent errors, and blank screens. Implement timeout thresholds and fallback navigation strategies (e.g., if content fails to load after X seconds, attempt to access search directly from the header or menu). Additionally, improve training on identifying common UI patterns like search icons across different apps to ensure the agent can proceed with search tasks even when primary content areas fail to render.",,0,0,0,0.0,17.0,,,,,
007-AddDetailedTransaction,"Open the bluecoins app, record an expense transaction for an amount of 89.95, named 'New Sneakers', in the 'Clothing' category, and assign the label 'Personal' to it.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG,[1],1,Y,emulator-5554,0,13,1.66155,430.4998779296875,1,1.0,1.309809923171997,429.1900680065155,12449,110,N,S,"Task completed successfully. The agent opened the Bluecoins app, created a new expense transaction, entered the amount '89.95', named it 'New Sneakers', selected the 'Clothing' category, assigned the 'Personal' label, and saved the transaction. All requirements are met as verified by the screenshots in steps 12, 13, and 14.",detailed_evaluation,0,0,0,0.0,,,41972,10536,52508,0.0,qwen3.6-plus,openai_compatible,5496,867,6363,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
008-AddDetailedTransaction,"Open the bluecoins app, create an expense entry for a 'Summer Dress' with an amount of 65.00, categorized under 'Clothing', and add the 'Personal' label to the transaction.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG,[1],1,Y,emulator-5556,0,9,1.13261,282.7425832748413,1,1.0,1.252556562423706,281.4900267124176,12202,127,N,S,"Task completed successfully. The agent opened the Bluecoins app, created a new expense entry, entered 'Summer Dress' as the item, set the amount to 65.00, selected the 'Clothing' category, added the 'Personal' label, and saved the transaction. The final dashboard screenshot confirms the expense was recorded correctly.",detailed_evaluation,0,0,0,0.0,,,29897,8069,37966,0.0,qwen3.6-plus,openai_compatible,4863,695,5558,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
009-MultiClockFunctions,"Open the Clock app. Add two new alarms: one for 7:30 AM tomorrow labeled ""Morning Workout"", and another for 10:15 PM tomorrow labeled ""Read Book"". Then, navigate to the world clock and add ""Tokyo, Japan"" and ""London, UK"". Finally, switch to the stopwatch and let it run for at least 15 seconds before stopping (but not resetting) it.",['Clock'],1,N,['Productivity: Time Management'],N,4,Action Execution Task,25,2,ENG,[],0,Y,emulator-5554,0,18,2.39578,572.8173837661743,1,1.0,1.2968008518218994,571.5205829143524,12892,139,N,F,"Task failed at step 19. The task requires the agent to 'let it run for at least 15 seconds before stopping (but not resetting) it.' While the stopwatch did run for more than 15 seconds (showing 1:05.04 in the final screenshot), the agent never actually stopped the stopwatch. The final screenshot (Step 19) clearly shows the pause button is displayed and the stopwatch is still running. The agent simply marked the task as complete without performing the required stop action. This is a critical omission as stopping the stopwatch is an explicit requirement of the task.",detailed_evaluation,0,0,0,0.0,,,57911,17680,75591,0.0,qwen3.6-plus,openai_compatible,6312,792,7104,0.0,qwen3.6-plus,openai_compatible,other,0.95,"The task required the agent to start the stopwatch, let it run for at least 15 seconds, and then explicitly stop it without resetting. The agent successfully navigated through setting alarms, adding world clocks, and starting the stopwatch (Steps 1-18). However, at Step 19, instead of clicking the visible pause button to stop the timer as instructed, the agent prematurely marked the task as complete. This failure does not stem from memory loss (the agent didn't forget the process or output wrong data), lack of knowledge (the pause button was clearly visible and functional), or fundamental intent misunderstanding (the agent followed most instructions correctly). It is a specific case of premature task termination where the agent failed to execute the final explicit action before concluding the task.",Step 19: The agent signaled task completion without performing the required 'stop' action on the running stopwatch.,"In Step 18, the agent clicked the start button. In Step 19, the UI shows the stopwatch running at 1:05.04 with the pause button clearly displayed. Despite the explicit instruction to 'stop (but not reset) it', the agent's action was to mark the task complete, omitting the final stop action.","Implement a mandatory pre-completion verification step that cross-references the task description's explicit terminal conditions (e.g., 'stop the stopwatch') with the current UI state before allowing the agent to signal task completion. Additionally, enhance the agent's policy to recognize and execute final required actions rather than defaulting to task completion once a time threshold is met.",,0,0,0,0.0,19.0,,,,,
010-SetTimersAndManageWorldClock,"Open the Clock app. Navigate to the timer and set three timers simultaneously: one for 15 minutes labeled ""Laundry"", one for 45 minutes labeled ""Baking"", and one for 1 hour 30 minutes labeled ""Study Session"". After starting all three, go to the world clock, delete any existing cities, and add ""Sydney, Australia"".",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,4,Action Execution Task,28,2,ENG,[1],1,Y,emulator-5556,0,54,9.52597,2427.7832272052765,1,1.0,1.2418832778930664,2426.5413439273834,17086,184,N,S,"Task completed successfully. The agent correctly: (1) Opened the Clock app, (2) Set three timers simultaneously - 15 minutes labeled 'Laundry' (Steps 4-20), 45 minutes labeled 'Baking' (Steps 13-23), and 1 hour 30 minutes labeled 'Study Session' (Steps 35-47), (3) Started all three timers, (4) Navigated to the world clock tab (Step 48), (5) Deleted existing cities (Buenos Aires and Beijing were removed in Steps 49-51), and (6) Added 'Sydney, Australia' to the world clock (Steps 52-55). The final screenshot (Step 55) confirms Sydney is displayed in the world clock with the correct time offset (+10h).",detailed_evaluation,0,0,0,0.0,,,167060,89908,256968,0.0,qwen3.6-plus,openai_compatible,12100,910,13010,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,100.0,,,"Task completed successfully, all information was correctly retained and used",task_succeeded
