task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language,GeneralE2E_successful_attempts,GeneralE2E_success_count,GeneralE2E_attempt_1_completion,GeneralE2E_attempt_1_device,GeneralE2E_attempt_1_exit_code,GeneralE2E_attempt_1_total_steps,GeneralE2E_attempt_1_total_token_cost,GeneralE2E_attempt_1_total_time,GeneralE2E_attempt_1_finish_signal,GeneralE2E_attempt_1_step_ratio,GeneralE2E_attempt_1_elapsed_time_initial,GeneralE2E_attempt_1_elapsed_time_exec,GeneralE2E_attempt_1_avg_prompt_tokens,GeneralE2E_attempt_1_avg_completion_tokens,GeneralE2E_attempt_1_exec_error,GeneralE2E_direct_with_action_attempt_1_evaluation,GeneralE2E_direct_with_action_attempt_1_details,GeneralE2E_direct_with_action_attempt_1_evaluation_method,GeneralE2E_direct_with_action_attempt_1_eval_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_eval_completion_tokens,GeneralE2E_direct_with_action_attempt_1_eval_total_tokens,GeneralE2E_direct_with_action_attempt_1_eval_api_cost,GeneralE2E_direct_with_action_attempt_1_model_provider,GeneralE2E_direct_with_action_attempt_1_model_name,GeneralE2E_direct_with_action_attempt_1_step_desc_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_completion_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_total_tokens,GeneralE2E_direct_with_action_attempt_1_step_desc_api_cost,GeneralE2E_direct_with_action_attempt_1_step_desc_model_name,GeneralE2E_direct_with_action_attempt_1_step_desc_model_provider,GeneralE2E_direct_with_action_attempt_1_final_decision_prompt_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_completion_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_total_tokens,GeneralE2E_direct_with_action_attempt_1_final_decision_api_cost,GeneralE2E_direct_with_action_attempt_1_final_decision_model_name,GeneralE2E_direct_with_action_attempt_1_final_decision_model_provider,GeneralE2E_direct_with_action_attempt_1_badcase_category,GeneralE2E_direct_with_action_attempt_1_badcase_confidence,GeneralE2E_direct_with_action_attempt_1_badcase_analysis_reason,GeneralE2E_direct_with_action_attempt_1_badcase_key_failure_point,GeneralE2E_direct_with_action_attempt_1_badcase_evidence,GeneralE2E_direct_with_action_attempt_1_badcase_suggested_improvement,GeneralE2E_attempt_1_self_reflection_judgment,GeneralE2E_attempt_1_self_reflection_prompt_tokens,GeneralE2E_attempt_1_self_reflection_completion_tokens,GeneralE2E_attempt_1_self_reflection_total_tokens,GeneralE2E_attempt_1_self_reflection_api_cost,GeneralE2E_direct_with_action_attempt_1_failure_step,GeneralE2E_direct_with_action_attempt_1_irr_percentage,GeneralE2E_direct_with_action_attempt_1_irr_total_units,GeneralE2E_direct_with_action_attempt_1_irr_correct_units,GeneralE2E_direct_with_action_attempt_1_irr_reason,GeneralE2E_direct_with_action_attempt_1_irr_method
001-FindProductAndFilter,"Open the Amazon app, search for ""running shoes for men"", then filter for the brand ""ASICS"" and size ""10"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG,[1],1,Y,emulator-5554,0,13,1.65494,266.7224962711334,1,1.0,1.1894516944885254,265.5330445766449,12350,126,N,S,"Task completed successfully. The agent correctly: (1) opened the Amazon app, (2) searched for 'running shoes for men', (3) applied the 'ASICS' brand filter (visible as '1 Brands' badge in Step 14), and (4) applied the size '10' filter (visible as '1 Men's Shoe Size' badge in Step 14). The final screenshot (Step 14) confirms both filters are active and the results display ASICS running shoes (Men's Gel-Excite 11 and Men's Gel-Contend 9), meeting all task requirements.",detailed_evaluation,0,0,0,0.0,,,41785,10552,52337,0.0,qwen3.6-plus,openai_compatible,5256,558,5814,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
002-FindProductAndFilter,"Open the Amazon app, search for ""women's handbag"", then filter for the brand ""ALDO"" and color ""Black"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG,[1],1,Y,emulator-5556,0,12,1.5039600000000002,250.07353162765503,1,1.0,1.2694711685180664,248.80406045913696,12239,97,N,S,"Task completed successfully. The agent opened the Amazon app, searched for 'women's handbag', and successfully applied the filters for brand 'ALDO' and color 'Black'. The final screenshots confirm that both filters are active (indicated by the '1 Brands' and '1 Color' badges) and the search results display ALDO handbags.",detailed_evaluation,0,0,0,0.0,,,38764,8072,46836,0.0,qwen3.6-plus,openai_compatible,5148,1045,6193,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
003-RecordAndNameAudio,"Open the audio recorder app. Set the recording format to WAV, 48 kHz, Mono. Record an audio clip for more than 10 seconds, then stop the recording. Save the file with the name ""MyTestAudio"".",['audio recorder'],1,N,"['Content Creation: Multimedia Creation', 'Device Configuration: Setting Adjustment']",N,1,Action Execution Task,12,1,ENG,[],0,Y,emulator-5554,4,24,3.3718000000000004,714.4666967391968,0,0.48,1.704310178756714,712.7623865604401,13574,158,N,F,"Task failed at step 12 where the agent attempted to save the recording with the name 'MyTestAudio' but received an error 'File with this name is already exists!'. The agent then tried to rename another file (Record-11) to 'MyTestAudio' in steps 18-24, but again received the same error at step 25. The task requires saving a newly recorded audio clip with the specific name 'MyTestAudio', but the agent could not complete this because a file with that name already existed. The agent did not resolve this conflict by either deleting the existing file or using a different approach. The final state shows the error message and the task requirement of saving the new recording as 'MyTestAudio' was not achieved.",detailed_evaluation,0,0,0,0.0,,,75062,38033,113095,0.0,qwen3.6-plus,openai_compatible,7138,1897,9035,0.0,qwen3.6-plus,openai_compatible,knowledge_deficiency,0.9,"The agent successfully understood the task goal and correctly executed the recording process with the specified settings. However, when attempting to save the file, it encountered a 'File with this name is already exists!' error at step 13. Instead of applying standard file conflict resolution strategies (such as deleting the existing 'MyTestAudio' file, which was visible in the list at step 15, or using an overwrite function), the agent persistently attempted to rename a different file ('Record-11') to the exact same conflicting name in steps 18-24. This repeated failure indicates a lack of operational knowledge and error-handling skills for managing file naming conflicts within the application's UI, rather than a memory lapse or intent misunderstanding.",Step 13 (encountering the file name conflict error) and steps 18-25 (repeatedly attempting to assign the conflicting name without resolving the underlying file existence issue).,"At step 13, a toast message explicitly states 'File with this name is already exists!'. At step 15, the agent navigates to the records list and clearly sees 'MyTestAudio' already exists. Despite this, steps 18-24 show the agent selecting 'Rename' for 'Record-11' and typing 'MyTestAudio' again, triggering the identical error at step 25. The agent lacks the procedural knowledge to delete the old file or handle the conflict appropriately.","Enhance the agent's error recovery and file management capabilities by training it on common UI conflict scenarios. Implement a structured error-handling protocol: when a save/rename operation fails due to a duplicate name, the agent should first verify the existing file, then either delete it, use an explicit overwrite option, or choose an alternative naming strategy before retrying the save operation.",,0,0,0,0.0,12.0,,,,,
004-ConfigureRecordAndNameAudio,"Open the audio recorder app. Set the recording format to M4a, 8 kHz, 48kbps. Record an audio clip for more than 15 seconds, then stop the recording. Save the file with the name ""M4aTestAudio"".",['audio recorder'],1,N,"['Device Configuration: Setting Adjustment', 'Content Creation: Multimedia Creation']",N,1,Action Execution Task,12,1,ENG,[],0,Y,emulator-5554,0,18,2.42487,427.01274013519287,1,1.0,1.2161459922790527,425.7965941429138,13060,137,N,F,"Task failed because the agent did not complete the final step of renaming and saving the file. The agent successfully opened the audio recorder app, configured the settings (M4a, 8kHz, 48kbps), recorded for more than 15 seconds (01:04), and stopped the recording. However, at Step 25, the agent only long-pressed the text field to select 'Record-13' but never typed 'M4aTestAudio' or clicked the 'Save' button. The file was not saved with the required name 'M4aTestAudio', which is a critical requirement of the task.",detailed_evaluation,0,0,0,0.0,,,75407,41136,116543,0.0,qwen3.6-plus,openai_compatible,7185,684,7869,0.0,qwen3.6-plus,openai_compatible,output_memory_hallucination,0.95,"The agent successfully executed all preparatory and procedural steps: opening the audio recorder app, correctly configuring the exact recording settings (M4a, 8kHz, 48kbps), recording for over 15 seconds, and stopping the session. However, when the rename dialog appeared at the final stage, the agent only long-pressed to select the default filename 'Record-13' but completely failed to type the required name 'M4aTestAudio' or click the 'Save' button. This indicates that while the procedural execution was flawless, the agent lost track of the critical target information (the specific filename) at the final output/submission stage, which perfectly aligns with the definition of output memory hallucination (forgets key information at the final output stage).",Step 25: The agent selected the default text in the rename dialog but failed to type the required filename 'M4aTestAudio' and confirm the save action.,"Steps 15-19 demonstrate correct configuration of M4a, 8kHz, and 48kbps. Steps 20-23 show successful recording (>15s) and stopping. Step 24 confirms the rename dialog is open with the keyboard visible. Step 25 shows the agent long-pressed the text field but the execution log terminates without typing the target name or clicking 'Save', proving a failure to retain and output the required information at the final step.","Implement a mandatory final-step verification routine that cross-references the target output string (e.g., filename) with the task instructions before executing the save/submit action. Additionally, enhance the agent's short-term memory anchoring for critical output parameters to prevent them from being dropped during the final UI interaction phase, and add a fallback mechanism to retry typing if the save action is not triggered.",,0,0,0,0.0,25.0,,,,,
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG,[],0,Y,emulator-5554,4,16,2.26288,413.5304126739502,0,0.32,1.263272762298584,412.2671399116516,13422,240,N,F,"The task failed. The agent skipped the instruction to 'find and tap on the Football category' and navigated directly to the 'Scores' tab (Step 7). Subsequently, the content on the 'Scores' tab failed to load (displaying a blank white screen), causing the agent to enter a loop of waiting and retrying (Steps 8-17). The agent never reached a state where it could perform the final required action: searching for 'Real Madrid'.",detailed_evaluation,0,0,0,0.0,,,50864,13666,64530,0.0,qwen3.6-plus,openai_compatible,5533,2557,8090,0.0,qwen3.6-plus,openai_compatible,intent_understanding,0.95,"The task explicitly outlines a sequential workflow: open the app, tap the 'Football' category, proceed to 'Scores & Fixtures', and then search for 'Real Madrid'. At Step 7, the agent completely bypassed the explicit instruction to navigate to the 'Football' category and instead directly clicked the 'Scores' tab in the bottom navigation bar. This demonstrates a clear failure to parse or adhere to the sequential requirements of the task prompt. Following this incorrect navigation, the app failed to load content, which trapped the agent in a prolonged waiting and retry loop (Steps 8-17). The agent never recognized its deviation from the instructed path, nor did it attempt to recover or execute the final search. The root cause is not a memory lapse or lack of technical capability, but rather a misalignment with and disregard for the explicit task instructions.","Step 7, where the agent ignored the explicit instruction to tap the 'Football' category and incorrectly navigated directly to the 'Scores' tab.","The task description clearly states 'find and tap on the Football category, proceed to Scores & Fixtures'. In Step 7, the execution log shows the agent clicking the 'Scores' tab instead. Steps 8-17 document the agent repeatedly waiting and retrying on a blank/loading screen without ever correcting its navigation path or attempting the required search for 'Real Madrid'.","Enhance the agent's instruction-parsing and execution verification mechanisms by implementing a step-by-step checklist that validates completion of each explicit sub-goal before proceeding. Introduce a self-correction protocol that triggers when the agent's current UI state does not match the expected state for the next instruction. Additionally, implement timeout and fallback strategies for app loading failures to prevent infinite waiting loops, enabling the agent to retry the correct navigation path or gracefully report the environmental issue.",,0,0,0,0.0,7.0,,,,,
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG,[],0,Y,emulator-5554,4,16,2.15045,356.7897803783417,0,0.32,1.259491205215454,355.5302891731262,12967,157,N,F,"Task failed. The agent was instructed to open the BBC Sports app. After encountering an update prompt and an error screen within the app, the agent abandoned the app and opened the Chrome browser (Step 13). Even using the browser as a fallback, the agent failed to complete the subsequent steps: it navigated to the BBC Sport URL but then immediately navigated back to an unrelated real estate website (apartments.com) in Step 17. The agent never reached the Football section, the 'Scores & Fixtures' view, or performed the search for 'Bayern Munich'.",detailed_evaluation,0,0,0,0.0,,,50661,14912,65573,0.0,qwen3.6-plus,openai_compatible,5405,2048,7453,0.0,qwen3.6-plus,openai_compatible,process_memory_hallucination,0.9,"The agent initially follows the task by opening the BBC app. After encountering an update prompt and error screen, it correctly switches to Chrome as a fallback and successfully navigates to 'bbc.co.uk/sport'. However, immediately after the page loads, the agent completely loses track of the task objective. Instead of proceeding to locate the Football section and 'Scores & Fixtures' view, it executes a 'back' navigation to a completely unrelated real estate website (apartments.com). This mid-process deviation, where the agent abandons the current task flow and interacts with irrelevant content, clearly demonstrates a loss of task direction and context retention, fitting the definition of process-type memory hallucination.","Step 17, where the agent navigates away from the correctly loaded BBC Sport URL to an unrelated real estate website, completely abandoning the task sequence.","Steps 13-16 show the agent successfully opening Chrome and entering the correct fallback URL. Step 17 shows the agent performing a 'back' action that leads to apartments.com, proving it forgot the immediate next steps (navigating to Football section) and the overall task goal. The agent never attempts to interact with the BBC Sport page or search for 'Bayern Munich'.","Implement stronger task state tracking and context verification, particularly during application switches or fallback procedures. Add explicit post-navigation validation steps to ensure the loaded page matches the expected task context before proceeding. Restrict unexplained 'back' navigation or tab switching unless explicitly required by the task instructions, and incorporate a 'goal reminder' mechanism after context switches to maintain focus.",,0,0,0,0.0,13.0,,,,,
007-AddDetailedTransaction,"Open the bluecoins app, record an expense transaction for an amount of 89.95, named 'New Sneakers', in the 'Clothing' category, and assign the label 'Personal' to it.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG,[1],1,Y,emulator-5554,0,13,1.6658000000000002,276.15289425849915,1,1.0,1.2714831829071045,274.88141107559204,12472,113,N,S,"Task completed successfully. The agent opened the Bluecoins app, created a new expense transaction with the amount 89.95, named it 'New Sneakers', selected the 'Clothing' category, and assigned the 'Personal' label. The final screenshot confirms the transaction is recorded in the Budget Summary under the Clothing category with the correct amount.",detailed_evaluation,0,0,0,0.0,,,41972,9932,51904,0.0,qwen3.6-plus,openai_compatible,5601,563,6164,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
008-AddDetailedTransaction,"Open the bluecoins app, create an expense entry for a 'Summer Dress' with an amount of 65.00, categorized under 'Clothing', and add the 'Personal' label to the transaction.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG,[1],1,Y,emulator-5554,0,17,2.21749,370.4662737846375,1,1.0,1.0302960872650146,369.4359776973725,12681,120,N,S,"Task completed successfully. The agent opened the Bluecoins app, created an expense entry for 'Summer Dress' with an amount of 65.00, selected the 'Clothing' category, added the 'Personal' label, and saved the transaction. The final screenshots confirm all details are correct and the transaction appears in the daily summary.",detailed_evaluation,0,0,0,0.0,,,53902,15459,69361,0.0,qwen3.6-plus,openai_compatible,6006,639,6645,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,,,,,
009-MultiClockFunctions,"Open the Clock app. Add two new alarms: one for 7:30 AM tomorrow labeled ""Morning Workout"", and another for 10:15 PM tomorrow labeled ""Read Book"". Then, navigate to the world clock and add ""Tokyo, Japan"" and ""London, UK"". Finally, switch to the stopwatch and let it run for at least 15 seconds before stopping (but not resetting) it.",['Clock'],1,N,['Productivity: Time Management'],N,4,Action Execution Task,25,2,ENG,[],0,Y,emulator-5554,0,36,5.67506,1077.6265885829926,1,1.0,1.2148208618164062,1076.411767721176,15262,167,N,F,"Task failed because the second alarm (10:15 PM labeled 'Read Book') was set for 'Today' instead of 'Tomorrow' as required by the task. In Step 22, the VLM description explicitly states the alarm card displays the schedule as 'Today', which does not meet the task requirement of setting the alarm for 'tomorrow'. The agent should have configured the alarm to trigger tomorrow but left it on the default 'Today' setting. While the first alarm (7:30 AM 'Morning Workout') was correctly set for 'Tomorrow' (as seen in Step 14), the second alarm's incorrect schedule constitutes a task failure.",detailed_evaluation,0,0,0,0.0,,,79135,21744,100879,0.0,qwen3.6-plus,openai_compatible,7501,2343,9844,0.0,qwen3.6-plus,openai_compatible,intent_understanding,0.9,"The task explicitly required setting two alarms for 'tomorrow'. The agent successfully configured the first alarm for 7:30 AM tomorrow (Steps 7-14), demonstrating initial comprehension of the requirement. However, when configuring the second alarm for 10:15 PM (Steps 16-22), the agent correctly set the time and label but failed to adjust the default schedule from 'Today' to 'Tomorrow'. This indicates a failure to consistently apply a key task constraint across multiple similar operations. Rather than losing track of the overall task (process memory hallucination) or lacking UI navigation skills (knowledge deficiency), the agent simply overlooked or ignored the 'tomorrow' requirement for the second alarm instance, which aligns with intent understanding issues where key requirements are inconsistently applied or missed.","Step 22, where the agent collapsed the second alarm card without verifying or adjusting the schedule from the default 'Today' to the required 'Tomorrow'.",Step 14 UI state confirms the first alarm was correctly set to 'Tomorrow'. Step 22 UI state explicitly shows the second alarm's schedule as 'Today'. The task description clearly mandates both alarms be set for 'tomorrow'. The agent's omission of the date adjustment for the second alarm directly violates this explicit constraint.,"Implement a constraint verification mechanism where the agent cross-references each UI element's state against the task requirements before confirming an action. For repetitive tasks involving multiple items, the agent should maintain a dynamic checklist of required parameters (time, date, label) and explicitly verify each one, especially when default UI states differ from task constraints. Additionally, training the agent to recognize and override default settings that conflict with explicit instructions will improve compliance.",,0,0,0,0.0,22.0,,,,,
010-SetTimersAndManageWorldClock,"Open the Clock app. Navigate to the timer and set three timers simultaneously: one for 15 minutes labeled ""Laundry"", one for 45 minutes labeled ""Baking"", and one for 1 hour 30 minutes labeled ""Study Session"". After starting all three, go to the world clock, delete any existing cities, and add ""Sydney, Australia"".",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,4,Action Execution Task,28,2,ENG,[1],1,Y,emulator-5554,0,50,8.29032,1658.157583475113,1,1.0,1.2817280292510986,1656.8758554458618,16122,152,N,S,"Task completed successfully. The agent correctly: (1) Opened the Clock app, (2) Set three timers with correct durations and labels - 15 minutes 'Laundry', 45 minutes 'Baking', and 1 hour 30 minutes 'Study Session', (3) Started all three timers, (4) Navigated to the World Clock tab, (5) Deleted all existing cities (Beijing, New York, Tokyo, London) through swipe gestures, and (6) Added 'Sydney, Australia' to the world clock. The final screenshot confirms only Sydney is displayed in the World Clock view, meeting all task requirements.",detailed_evaluation,0,0,0,0.0,,,154871,85619,240490,0.0,qwen3.6-plus,openai_compatible,11173,725,11898,0.0,qwen3.6-plus,openai_compatible,,0.0,,,,,,0,0,0,0.0,,100.0,,,"Task completed successfully, all information was correctly retained and used",task_succeeded
